=== RELATÓRIO ===
Inicio Teste: 2025-11-28 10:32:00.793355

img_CGNE_sinal_2_60x60.csv_java.png - Arquivo: CGNE, Inicio: 2025-11-28 10:32:46, Fim: 2025-11-28 10:33:04, Tamanho: 60x60, Iterações: 10, Tempo Servidor: 17.341375 s, Tempo Req Total: 62.1268 s, Modelo: H_60x60.csv, Sinal: sinal_2_60x60.csv, Ganho: Dinâmico
img_CGNE_sinal_2_60x60.csv_java.png - Arquivo: CGNE, Inicio: 2025-11-28 10:32:47, Fim: 2025-11-28 10:33:04, Tamanho: 60x60, Iterações: 10, Tempo Servidor: 17.7783683 s, Tempo Req Total: 62.7776 s, Modelo: H_60x60.csv, Sinal: sinal_2_60x60.csv, Ganho: Dinâmico
img_CGNR_sinal_2_60x60.csv_java.png - Arquivo: CGNR, Inicio: 2025-11-28 10:32:46, Fim: 2025-11-28 10:33:05, Tamanho: 60x60, Iterações: 10, Tempo Servidor: 18.3841217 s, Tempo Req Total: 63.2922 s, Modelo: H_60x60.csv, Sinal: sinal_2_60x60.csv, Ganho: Dinâmico
img_CGNR_sinal_2_60x60.csv_java.png - Arquivo: CGNR, Inicio: 2025-11-28 10:32:47, Fim: 2025-11-28 10:33:05, Tamanho: 60x60, Iterações: 10, Tempo Servidor: 18.3402583 s, Tempo Req Total: 63.3791 s, Modelo: H_60x60.csv, Sinal: sinal_2_60x60.csv, Ganho: Dinâmico
img_CGNE_sinal_1_30x30.csv_java.png - Arquivo: CGNE, Inicio: 2025-11-28 10:33:04, Fim: 2025-11-28 10:33:14, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 10.7466604 s, Tempo Req Total: 72.5986 s, Modelo: H_30x30.csv, Sinal: sinal_1_30x30.csv, Ganho: Dinâmico
img_CGNE_sinal_1_60x60.csv_java.png - Arquivo: CGNE, Inicio: 2025-11-28 10:33:05, Fim: 2025-11-28 10:33:22, Tamanho: 60x60, Iterações: 10, Tempo Servidor: 16.8505237 s, Tempo Req Total: 79.7070 s, Modelo: H_60x60.csv, Sinal: sinal_1_60x60.csv, Ganho: Dinâmico
img_CGNR_sinal_1_30x30.csv_java.png - Arquivo: CGNR, Inicio: 2025-11-28 10:33:04, Fim: 2025-11-28 10:33:22, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 17.2735875 s, Tempo Req Total: 79.9169 s, Modelo: H_30x30.csv, Sinal: sinal_1_30x30.csv, Ganho: Dinâmico
img_CGNR_sinal_1_60x60.csv_java.png - Arquivo: CGNR, Inicio: 2025-11-28 10:33:05, Fim: 2025-11-28 10:33:23, Tamanho: 60x60, Iterações: 10, Tempo Servidor: 18.0774155 s, Tempo Req Total: 81.1587 s, Modelo: H_60x60.csv, Sinal: sinal_1_60x60.csv, Ganho: Dinâmico
img_CGNR_sinal_2_30x30.csv_java.png - Arquivo: CGNR, Inicio: 2025-11-28 10:33:14, Fim: 2025-11-28 10:33:27, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 12.58238 s, Tempo Req Total: 84.8754 s, Modelo: H_30x30.csv, Sinal: sinal_2_30x30.csv, Ganho: Dinâmico
img_CGNE_sinal_2_30x30.csv_java.png - Arquivo: CGNE, Inicio: 2025-11-28 10:33:22, Fim: 2025-11-28 10:33:27, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 5.5342474 s, Tempo Req Total: 85.1076 s, Modelo: H_30x30.csv, Sinal: sinal_2_30x30.csv, Ganho: Dinâmico
img_CGNE_sinal_3_30x30.csv_java.png - Arquivo: CGNE, Inicio: 2025-11-28 10:33:22, Fim: 2025-11-28 10:33:27, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 5.5682454 s, Tempo Req Total: 85.0238 s, Modelo: H_30x30.csv, Sinal: sinal_3_30x30.csv, Ganho: Dinâmico
img_CGNR_sinal_3_30x30.csv_java.png - Arquivo: CGNR, Inicio: 2025-11-28 10:33:23, Fim: 2025-11-28 10:33:28, Tamanho: 30x30, Iterações: 10, Tempo Servidor: 4.9552624 s, Tempo Req Total: 85.8021 s, Modelo: H_30x30.csv, Sinal: sinal_3_30x30.csv, Ganho: Dinâmico
